location,total_sqft,bath,balcony,bhk,price,predicted_price_rf,price_per_sqft
Hennur Road,1703.0,3.0,0.0,3.0,101.0,102.42190000000002,5930.710510863182
other,1210.0,2.0,1.0,3.0,58.0,66.64506517909722,4793.388429752066
Electronic City,1025.0,2.0,1.0,2.0,29.6,45.5175252136752,2887.8048780487807
Haralur Road,1140.0,2.0,2.0,2.0,43.0,45.392256493506494,3771.9298245614036
7th Phase JP Nagar,1343.0,2.0,2.0,3.0,56.41,55.08849999999996,4200.297840655249
other,1560.0,3.0,2.0,3.0,85.0,83.65817460317459,5448.717948717948
other,925.0,2.0,2.0,2.0,51.0,48.59216577866579,5513.513513513513
Kanakpura Road,1420.0,2.0,2.0,3.0,75.0,72.55123333333334,5281.69014084507
other,1415.0,2.0,3.0,2.0,110.0,83.10759999999999,7773.851590106007
other,1210.0,2.0,2.0,2.0,60.0,60.67108694083694,4958.677685950413
other,1852.0,3.0,2.0,3.0,160.0,138.48785714285714,8639.308855291576
other,1250.0,3.0,2.0,3.0,50.0,49.47788833944218,4000.0
other,1100.0,2.0,1.0,2.0,65.0,56.64297445552915,5909.090909090909
other,1150.0,2.0,1.0,2.0,40.25,54.27051945862626,3500.0
other,1100.0,2.0,1.0,2.0,53.35,56.64297445552915,4850.0
other,1350.0,1.0,0.0,2.0,100.0,106.7617,7407.407407407408
other,1546.0,3.0,2.0,3.0,99.0,88.74255000000001,6403.622250970246
other,1424.0,2.0,2.0,2.0,90.0,88.05416666666666,6320.224719101124
other,1398.0,3.0,1.0,3.0,68.0,88.45045546218485,4864.0915593705295
other,1650.0,3.0,2.0,3.0,200.0,101.13681782465572,12121.212121212122
other,1200.0,4.0,0.0,4.0,120.0,134.51330419666337,10000.0
other,1476.0,3.0,2.0,3.0,105.0,97.73782746031746,7113.821138211382
other,500.0,2.0,1.0,2.0,70.0,57.7875,14000.0
other,1322.0,2.0,2.0,3.0,58.82,57.694470213120184,4449.3192133131615
other,432.0,2.0,1.0,2.0,40.0,37.63583333333334,9259.25925925926
other,1100.0,2.0,2.0,2.0,55.0,52.632757641613324,5000.0
other,4750.0,5.0,0.0,4.0,600.0,645.78,12631.578947368422
other,1285.0,2.0,2.0,3.0,68.0,57.136900000000004,5291.828793774319
other,1150.0,2.0,2.0,2.0,80.0,63.735623407525324,6956.521739130435
Thanisandra,1430.0,2.0,2.0,3.0,56.0,53.44651528499279,3916.083916083916
Marathahalli,1350.0,2.0,2.0,3.0,62.0,66.41032031862743,4592.592592592592
other,1350.0,3.0,3.0,3.0,195.0,128.40350888888884,14444.444444444445
other,1185.0,2.0,2.0,2.0,65.0,63.67180391275393,5485.232067510548
Bannerghatta Road,1760.0,3.0,2.0,3.0,67.0,123.25487900432901,3806.818181818182
other,2400.0,5.0,2.0,4.0,350.0,287.24947222222227,14583.333333333334
Kanakpura Road,900.0,2.0,1.0,2.0,41.0,43.257705975642004,4555.555555555556
Kanakpura Road,1297.0,2.0,1.0,2.0,105.0,97.84049999999999,8095.605242868157
other,1840.0,3.0,2.0,3.0,155.0,141.92666666666665,8423.91304347826
other,950.0,2.0,1.0,2.0,50.79,41.52252424523735,5346.315789473684
other,1200.0,4.0,1.0,5.0,70.0,112.81566423853927,5833.333333333333
other,950.0,2.0,1.0,2.0,52.0,41.52252424523735,5473.684210526316
other,1277.5,2.0,0.0,2.0,95.815,82.71051666666665,7500.1956947162425
Electronic City,1571.0,3.0,2.0,3.0,89.0,85.61200000000001,5665.1814131126675
Electronic City Phase II,1031.0,2.0,1.0,2.0,55.0,54.06566761904761,5334.62657613967
Whitefield,1485.0,2.0,1.0,2.0,90.0,93.50705666666668,6060.606060606061
other,1109.0,2.0,1.0,2.0,60.0,63.97040325396825,5410.279531109108
other,2200.0,3.0,2.0,3.0,180.0,143.5251111111111,8181.818181818182
Whitefield,950.0,1.0,1.0,1.0,50.0,49.42746666666666,5263.1578947368425
other,1200.0,2.0,0.0,3.0,150.0,78.87850131915609,12500.0
other,1161.0,2.0,1.0,2.0,55.15,56.43344316933066,4750.215331610681
other,2350.0,3.0,3.0,3.0,300.0,301.44833333333327,12765.95744680851
Electronic City Phase II,1003.0,2.0,1.0,2.0,40.6,36.01766666666665,4047.8564307078764
other,1350.0,2.0,1.0,2.0,185.0,102.84488811188808,13703.703703703704
other,1080.0,2.0,2.0,2.0,37.0,48.36810860102098,3425.925925925926
other,1255.0,2.0,2.0,2.0,73.0,59.16199837524104,5816.733067729084
other,1250.0,2.0,0.0,2.0,60.0,101.47357142857143,4800.0
other,1700.0,4.0,1.0,4.0,152.0,153.49859999999998,8941.176470588236
other,1200.0,2.0,0.0,3.0,66.0,78.87850131915609,5500.0
other,824.0,2.0,0.0,2.0,60.0,54.4041,7281.553398058252
other,1875.0,3.0,1.0,3.0,167.0,132.44373809523816,8906.666666666666
other,1320.0,2.0,1.0,3.0,38.12,57.204257698412675,2887.8787878787875
other,9600.0,5.0,2.0,5.0,550.0,850.73,5729.166666666667
Uttarahalli,1330.0,2.0,1.0,3.0,47.0,55.44873917748916,3533.8345864661655
other,1220.0,3.0,2.0,3.0,56.0,56.0,4590.163934426229
Electronic City,1111.0,3.0,1.0,3.0,50.0,53.24905777777778,4500.450045004501
other,1197.0,2.0,1.0,2.0,47.88,70.66429951270952,4000.0
Marathahalli,2519.0,5.0,2.0,4.0,185.0,190.88,7344.184200079397
other,1340.0,2.0,1.0,3.0,100.0,90.97575333333334,7462.686567164179
other,1450.0,3.0,3.0,4.0,132.0,105.84973809523801,9103.448275862069
other,1837.0,3.0,3.0,3.0,145.0,140.61459523809523,7893.304300489929
Haralur Road,1200.0,4.0,0.0,4.0,245.0,216.50232721445224,20416.666666666668
other,1238.0,2.0,3.0,2.0,55.0,60.36566253968253,4442.64943457189
7th Phase JP Nagar,1405.0,2.0,2.0,3.0,59.01,61.56147500000008,4200.0
other,1690.0,3.0,2.0,4.0,80.0,105.29,4733.7278106508875
other,1620.0,2.0,1.0,3.0,110.0,92.68500000000002,6790.123456790124
Kanakpura Road,1673.0,3.0,2.0,3.0,115.0,114.66513095238095,6873.879258816497
other,1090.0,2.0,0.0,2.0,58.0,52.20150044011543,5321.100917431193
other,1112.0,2.0,2.0,2.0,40.0,47.64852857142857,3597.122302158273
Marathahalli,1385.0,2.0,2.0,3.0,66.65,65.62906904761903,4812.274368231047
Electronic City Phase II,545.0,1.0,1.0,2.0,27.0,29.405722222222217,4954.128440366972
other,985.0,2.0,1.0,2.0,58.0,54.96893466417442,5888.324873096447
Kanakpura Road,825.0,1.0,0.0,1.0,36.29,37.60515999999998,4398.787878787879
Kanakpura Road,1080.0,2.0,1.0,2.0,37.8,40.470166666666735,3499.9999999999995
other,1430.0,2.0,1.0,2.0,97.52,94.73388333333347,6819.580419580419
other,1050.0,2.0,2.0,2.0,43.0,53.63067564648229,4095.2380952380954
other,2000.0,4.0,1.0,4.0,139.0,150.0113362193362,6950.0
other,4800.0,4.0,3.0,4.0,190.0,456.605,3958.3333333333335
other,1533.0,3.0,2.0,3.0,115.0,110.01688666666665,7501.630789302022
other,2800.0,3.0,2.0,4.0,500.0,393.505,17857.14285714286
other,2610.0,3.0,0.0,3.0,399.0,423.18333333333334,15287.356321839081
other,1750.0,3.0,2.0,3.0,150.0,116.79961131481174,8571.42857142857
other,1200.0,2.0,0.0,3.0,66.0,78.87850131915609,5500.0
other,1352.0,2.0,2.0,2.0,87.5,75.56795833333332,6471.89349112426
other,1754.0,3.0,2.0,3.0,125.0,127.69633333333333,7126.567844925884
other,1560.0,3.0,2.0,3.0,85.0,83.65817460317459,5448.717948717948
other,3012.0,6.0,2.0,4.0,268.0,251.98438095238097,8897.742363877822
Whitefield,3584.0,4.0,0.0,4.0,199.0,235.31583333333333,5552.455357142857
other,1470.0,2.0,1.0,3.0,90.0,112.45006666666666,6122.448979591837
other,1035.0,2.0,1.0,2.0,45.0,43.58534193997997,4347.826086956522
Whitefield,2400.0,5.0,0.0,4.0,329.0,312.69166666666666,13708.333333333334
other,1160.0,2.0,1.0,2.0,52.0,52.10141449834914,4482.758620689655
other,1100.0,2.0,2.0,2.0,52.0,52.632757641613324,4727.272727272727
other,1170.0,2.0,0.0,2.0,38.0,46.35808380952381,3247.863247863248
Bannerghatta Road,595.0,1.0,1.0,1.0,31.83,32.782732222222215,5349.579831932773
other,1650.0,3.0,2.0,3.0,110.0,101.13681782465572,6666.666666666667
other,1875.0,2.0,3.0,3.0,235.0,222.37,12533.333333333334
other,800.0,4.0,1.0,4.0,80.0,130.8597619047619,10000.0
other,1375.0,2.0,3.0,3.0,48.06,65.91641666666666,3495.2727272727275
other,1235.0,2.0,1.0,2.0,46.8,93.94398333333328,3789.4736842105262
other,750.0,1.0,2.0,1.0,25.0,32.34744285714286,3333.3333333333335
7th Phase JP Nagar,1400.0,3.0,1.0,3.0,115.0,98.92225286478228,8214.285714285714
other,1270.0,2.0,2.0,3.0,50.79,59.27052410450661,3999.212598425197
Bannerghatta Road,1105.0,2.0,1.0,2.0,51.0,49.6805375,4615.384615384615
other,1375.0,2.0,3.0,3.0,85.0,65.91641666666666,6181.818181818182
other,2168.0,4.0,2.0,4.0,95.0,103.77333333333333,4381.918819188192
other,1200.0,8.0,3.0,8.0,90.0,168.79666666666665,7500.0
Yelahanka,1065.0,2.0,1.0,2.0,40.84,44.79996040889665,3834.7417840375592
other,3800.0,3.0,0.0,3.0,580.0,518.3633333333332,15263.157894736842
Raja Rajeshwari Nagar,3125.0,9.0,0.0,9.0,350.0,260.545,11200.0
Whitefield,825.0,1.0,1.0,1.0,45.0,44.88969523809523,5454.545454545455
other,1095.0,2.0,0.0,2.0,40.0,47.593456095848595,3652.9680365296804
other,720.0,3.0,3.0,3.0,65.0,80.6425,9027.777777777777
other,1440.0,2.0,2.0,3.0,60.33,62.493500000000004,4189.583333333333
Electronic City,870.0,2.0,1.0,2.0,39.5,28.982999999999997,4540.229885057472
other,1195.0,2.0,1.0,2.0,84.0,61.45121539682541,7029.28870292887
other,1200.0,2.0,1.0,2.0,49.5,66.6977315562278,4125.0
Raja Rajeshwari Nagar,1530.0,3.0,3.0,3.0,61.2,56.316058571428556,4000.0
other,1708.0,2.0,1.0,3.0,90.5,162.20544476190457,5298.594847775175
other,975.0,2.0,1.0,2.0,43.0,46.329258622208535,4410.25641025641
other,750.0,2.0,1.0,2.0,25.0,33.35979619796872,3333.3333333333335
other,1200.0,8.0,2.0,8.0,190.0,169.07000000000005,15833.333333333334
other,1920.0,3.0,2.0,3.0,130.0,140.3560556110556,6770.833333333333
other,1200.0,5.0,2.0,6.0,240.0,206.5390238095238,20000.0
Thanisandra,1183.0,2.0,1.0,2.0,58.56,69.15212880952384,4950.126796280642
other,1140.0,4.0,1.0,4.0,90.0,117.97932065217393,7894.736842105263
other,1550.0,2.0,2.0,3.0,65.0,74.22081168831168,4193.548387096775
other,1110.0,2.0,3.0,2.0,53.0,52.096309813797305,4774.774774774774
other,1500.0,10.0,3.0,8.0,165.0,187.41904761904763,11000.0
other,1105.0,2.0,1.0,2.0,38.67,48.15254156177154,3499.547511312217
other,1800.0,3.0,2.0,3.0,68.0,124.9853064642436,3777.777777777778
other,2800.0,4.0,2.0,5.0,200.0,200.58,7142.857142857143
other,1000.0,2.0,2.0,2.0,29.9,45.03574508455436,2990.0
other,1190.0,2.0,2.0,2.0,68.0,52.64510955992881,5714.285714285715
other,1350.0,4.0,1.0,4.0,200.0,205.91154761904767,14814.814814814816
Hebbal,3067.0,4.0,2.0,4.0,230.0,323.1288888888889,7499.184871209651
Sarjapur  Road,1929.0,4.0,1.0,3.0,103.0,111.17309523809519,5339.554173146708
other,1525.0,3.0,1.0,3.0,100.0,103.91806666666666,6557.377049180328
other,1775.0,3.0,3.0,3.0,110.0,107.77056666666671,6197.183098591549
other,1125.0,2.0,1.0,2.0,63.0,52.03344849747898,5600.0
other,900.0,2.0,2.0,2.0,42.0,52.52140973590136,4666.666666666667
Sarjapur  Road,1155.0,2.0,1.0,2.0,58.0,58.67754801587303,5021.645021645022
other,1200.0,4.0,0.0,4.0,75.0,134.51330419666337,6250.0
other,1268.0,2.0,1.0,2.0,73.0,85.95365476190476,5757.097791798107
other,1500.0,3.0,2.0,3.0,88.0,81.3956276318842,5866.666666666667
Electronic City,630.0,1.0,1.0,1.0,47.0,50.03191666666668,7460.31746031746
other,1525.0,3.0,2.0,3.0,65.0,76.64010857142854,4262.295081967213
other,1060.0,2.0,2.0,2.0,48.0,46.256449062465315,4528.301886792453
other,1687.0,3.0,3.0,3.0,127.0,105.37666666666667,7528.156490812093
Thanisandra,1847.0,3.0,2.0,3.0,123.0,120.01873333333333,6659.447753113156
other,1410.0,2.0,3.0,3.0,53.0,52.176190786713285,3758.8652482269504
7th Phase JP Nagar,1075.0,2.0,1.0,2.0,42.99,45.77043333333327,3999.0697674418607
other,3526.0,4.0,0.0,4.0,492.0,458.077,13953.488372093023
other,3000.0,3.0,0.0,3.0,338.0,308.1395,11266.666666666666
other,1500.0,2.0,1.0,3.0,143.0,109.23682366627182,9533.333333333334
other,1010.0,2.0,2.0,2.0,46.0,48.49059523809522,4554.455445544554
Haralur Road,1875.0,3.0,3.0,3.0,110.0,112.84214285714286,5866.666666666667
other,1200.0,6.0,0.0,5.0,137.0,121.90726587301587,11416.666666666666
Kanakpura Road,983.0,2.0,1.0,2.0,50.6,49.44067500000002,5147.5076297049845
other,1101.0,2.0,2.0,2.0,65.0,64.49045415464123,5903.723887375114
other,1140.0,2.0,1.0,2.0,76.0,65.07960516816517,6666.666666666667
Sarjapur  Road,1215.0,2.0,2.0,2.0,110.0,96.41269999999999,9053.497942386832
other,1007.0,2.0,3.0,2.0,42.0,41.96133333333334,4170.8043694141015
other,2039.0,3.0,2.0,3.0,168.0,150.89950000000002,8239.333006375675
other,1020.0,3.0,2.0,3.0,110.0,115.8791,10784.313725490196
other,1198.0,2.0,1.0,2.0,84.0,76.41735746031746,7011.686143572621
other,4000.0,4.0,1.0,4.0,520.0,582.1322222222221,13000.0
other,1470.0,4.0,2.0,4.0,34.5,204.8586666666667,2346.938775510204
other,1370.0,2.0,2.0,2.0,75.0,88.19276984126985,5474.4525547445255
other,1316.0,2.0,3.0,2.0,55.5,64.10675,4217.325227963526
other,1350.0,3.0,1.0,3.0,55.5,86.33706061549563,4111.111111111111
other,1050.0,2.0,1.0,2.0,43.0,54.18199270903312,4095.2380952380954
other,1128.76,3.0,0.0,3.0,47.405,73.76932820512816,4199.741309047096
Electronic City,921.0,2.0,1.0,2.0,34.0,40.992374999999996,3691.6395222584147
other,1010.0,2.0,1.0,2.0,49.27,42.28568482335932,4878.217821782178
other,1015.0,2.0,1.0,2.0,43.0,43.68417686313687,4236.453201970443
other,1200.0,2.0,0.0,3.0,66.5,78.87850131915609,5541.666666666667
other,1179.0,2.0,1.0,2.0,75.0,57.12257142246643,6361.323155216285
other,1850.0,4.0,2.0,4.0,86.0,147.9425,4648.648648648648
other,870.0,2.0,1.0,2.0,24.0,54.62863333333334,2758.6206896551726
other,1605.0,3.0,2.0,3.0,85.0,110.55231240981239,5295.95015576324
other,2800.0,4.0,2.0,4.0,89.0,175.8325,3178.5714285714284
other,2475.0,4.0,3.0,3.0,320.0,323.04333380508376,12929.29292929293
other,3000.0,2.0,0.0,2.0,510.0,428.52666666666664,17000.0
other,2400.0,7.0,2.0,6.0,110.0,217.80833333333337,4583.333333333333
other,1000.0,1.0,1.0,2.0,55.0,59.24405422446349,5500.0
other,1200.0,2.0,0.0,2.0,80.0,75.83622885487857,6666.666666666667
other,1200.0,2.0,2.0,2.0,125.0,57.5871973877602,10416.666666666666
other,1200.0,2.0,1.0,2.0,66.0,66.6977315562278,5500.0
other,1200.0,2.0,2.0,2.0,50.0,57.5871973877602,4166.666666666667
other,1255.0,2.0,1.0,2.0,57.5,57.77846361382039,4581.673306772908
other,1085.0,2.0,2.0,2.0,30.38,35.15545809523806,2800.0
Kanakpura Road,1592.0,3.0,0.0,3.0,125.0,122.68602666666668,7851.75879396985
other,1313.0,2.0,1.0,2.0,58.27,78.8142666666668,4437.928408225438
other,1934.0,3.0,2.0,3.0,150.0,133.55,7755.946225439504
other,1200.0,2.0,1.0,2.0,49.5,66.6977315562278,4125.0
Uttarahalli,3600.0,6.0,2.0,6.0,120.0,212.12625000000003,3333.3333333333335
other,935.0,2.0,1.0,2.0,45.0,39.48967290723166,4812.834224598931
other,877.0,2.0,2.0,2.0,30.0,30.423830952380953,3420.752565564424
other,936.0,2.0,2.0,2.0,42.0,42.07833333333333,4487.179487179487
other,1470.0,2.0,2.0,3.0,110.0,83.61081507936511,7482.993197278912
other,1050.0,1.0,1.0,1.0,70.0,60.35793088336784,6666.666666666667
Hennur Road,1232.0,2.0,0.0,2.0,69.61,67.65458747863238,5650.162337662337
other,2225.0,4.0,2.0,3.0,169.0,148.01256284826283,7595.505617977528
other,1200.0,2.0,0.0,3.0,80.0,78.87850131915609,6666.666666666667
other,1901.0,3.0,2.0,3.0,119.0,138.0175,6259.863229879011
Sarjapur  Road,1819.0,3.0,2.0,3.0,100.0,105.14311666666669,5497.526113249038
other,1464.0,3.0,2.0,3.0,56.0,55.135829556580305,3825.136612021858
other,3715.0,6.0,0.0,4.0,200.5,258.90500000000003,5397.039030955585
other,5000.0,4.0,3.0,4.0,290.0,346.01142857142855,5800.0
other,1200.0,4.0,3.0,4.0,169.0,168.7786024531024,14083.333333333334
other,1256.0,2.0,1.0,2.0,60.0,63.51707091686094,4777.070063694267
7th Phase JP Nagar,1100.0,2.0,2.0,2.0,44.0,45.08684399833407,4000.0
other,4800.0,3.0,3.0,4.0,302.0,329.62,6291.666666666667
other,1435.0,3.0,3.0,3.0,70.0,62.48185844155844,4878.048780487805
other,3245.0,4.0,0.0,4.0,250.0,263.755,7704.160246533128
Sarjapur  Road,1845.0,4.0,1.0,3.0,110.0,115.41484,5962.059620596206
other,2400.0,4.0,1.0,3.0,130.0,189.84507142857143,5416.666666666667
other,1140.0,2.0,2.0,2.0,46.0,48.15450264854517,4035.0877192982457
other,1200.0,2.0,0.0,2.0,60.0,75.83622885487857,5000.0
other,2254.0,3.0,2.0,3.0,170.0,166.3315,7542.147293700089
other,1750.0,3.0,2.0,3.0,150.0,116.79961131481174,8571.42857142857
other,1020.0,2.0,1.0,2.0,37.0,48.394371557788894,3627.450980392157
other,515.0,1.0,1.0,1.0,25.0,24.099899999999998,4854.368932038835
other,1893.0,3.0,2.0,3.0,140.0,137.3166666666667,7395.66825145272
other,3025.0,3.0,0.0,3.0,500.0,416.07399999999996,16528.92561983471
other,830.0,2.0,0.0,2.0,34.0,44.42907047619046,4096.385542168675
other,600.0,2.0,1.0,2.0,36.5,61.49359072871574,6083.333333333333
other,1075.0,2.0,1.0,3.0,90.0,41.77439848548115,8372.093023255815
other,1200.0,2.0,1.0,2.0,78.0,66.6977315562278,6500.0
Sarjapur  Road,1233.0,2.0,2.0,2.0,77.65,76.03356999999988,6297.6480129764805
Bannerghatta Road,1255.0,2.0,2.0,2.0,65.26,61.17783277056285,5200.000000000001
other,1200.0,2.0,2.0,2.0,37.8,57.5871973877602,3149.9999999999995
other,2145.0,3.0,2.0,3.0,175.0,174.94250000000002,8158.508158508159
other,1500.0,5.0,0.0,5.0,85.0,117.53124242424241,5666.666666666667
other,740.0,2.0,1.0,2.0,34.0,34.81202261904761,4594.594594594595
other,1250.0,3.0,3.0,3.0,48.0,45.72329505772005,3840.0
other,1210.0,2.0,2.0,2.0,40.0,60.67108694083694,3305.785123966942
Sarjapur  Road,1525.0,2.0,2.0,3.0,60.0,67.8723253968254,3934.4262295081967
other,540.0,1.0,0.0,1.0,36.0,34.11296666666667,6666.666666666667
other,1240.0,2.0,1.0,3.0,84.0,74.33452857142858,6774.193548387097
other,1245.0,2.0,1.0,3.0,68.0,65.96336333333335,5461.847389558233
other,1865.0,3.0,3.0,3.0,350.0,136.98,18766.756032171583
other,1104.0,2.0,0.0,2.0,36.43,44.27422757020754,3299.81884057971
other,1075.0,2.0,1.0,3.0,35.99,41.77439848548115,3347.906976744186
other,2200.0,2.0,1.0,2.0,55.0,84.22733333333333,2500.0
Whitefield,1155.0,2.0,1.0,2.0,60.0,51.4689388888889,5194.805194805195
other,1520.0,2.0,3.0,2.0,62.0,76.1514880952381,4078.9473684210525
other,3122.0,6.0,2.0,4.0,245.0,248.3837554112554,7847.533632286995
other,1290.0,2.0,1.0,2.0,85.0,84.3017062727529,6589.147286821705
other,2300.0,3.0,0.0,3.0,80.0,136.80271428571427,3478.2608695652175
other,3000.0,4.0,0.0,4.0,200.0,178.26190476190482,6666.666666666667
other,400.0,1.0,0.0,1.0,14.0,35.874347619047604,3500.0
other,1340.0,2.0,3.0,3.0,53.6,57.83269416666669,4000.0
other,900.0,2.0,1.0,2.0,95.0,52.37462243048155,10555.555555555555
other,1800.0,4.0,0.0,6.0,324.0,270.255,18000.0
Hennur Road,987.0,2.0,1.0,2.0,49.0,46.43386265068265,4964.5390070921985
other,1720.0,3.0,2.0,3.0,100.0,156.267,5813.953488372093
Hebbal,1040.0,2.0,1.0,2.0,50.0,52.52386666666666,4807.692307692308
other,900.0,2.0,0.0,2.0,64.0,55.262409906971826,7111.111111111111
Raja Rajeshwari Nagar,1030.0,2.0,1.0,2.0,50.0,45.95932155122654,4854.368932038835
other,2556.0,3.0,2.0,3.0,133.0,183.4908333333333,5203.442879499217
other,1850.0,3.0,1.0,3.0,168.0,163.832,9081.081081081082
other,750.0,4.0,3.0,4.0,110.0,107.22333333333334,14666.666666666666
other,1028.0,2.0,1.0,2.0,31.86,44.275241825396826,3099.2217898832687
7th Phase JP Nagar,1270.0,2.0,1.0,2.0,83.0,81.81343333333334,6535.433070866142
other,1655.0,3.0,1.0,3.0,115.0,117.78905031746031,6948.640483383686
other,940.0,2.0,1.0,2.0,40.0,45.29058381673879,4255.31914893617
other,1050.0,2.0,2.0,2.0,85.0,53.63067564648229,8095.238095238095
other,600.0,4.0,1.0,4.0,40.0,65.86107142857142,6666.666666666667
other,946.0,2.0,1.0,2.0,38.0,42.81166666666666,4016.913319238901
other,1726.0,3.0,3.0,3.0,145.0,144.82659999999998,8400.92699884125
other,2121.0,4.0,3.0,3.0,253.0,221.04,11928.335690711929
other,1404.0,2.0,1.0,2.0,75.0,70.5888320707071,5341.880341880342
other,1525.0,2.0,2.0,3.0,48.0,73.7117366666666,3147.5409836065573
other,1025.0,2.0,2.0,2.0,57.0,44.96571901431901,5560.975609756098
other,1575.0,4.0,0.0,5.0,150.0,141.59,9523.809523809523
other,860.0,1.0,1.0,2.0,43.0,31.312767460317446,5000.0
other,1223.0,2.0,1.0,3.0,42.81,51.001864761904784,3500.408830744072
other,3750.0,3.0,0.0,4.0,550.0,496.8399999999999,14666.666666666666
other,1197.0,2.0,1.0,2.0,47.8,70.66429951270952,3993.316624895572
other,1150.0,2.0,1.0,2.0,52.75,54.27051945862626,4586.95652173913
other,4800.0,5.0,3.0,4.0,629.0,542.67,13104.166666666666
other,1040.0,2.0,2.0,2.0,46.0,50.73037722166721,4423.076923076923
other,1310.0,2.0,2.0,2.0,80.0,80.27702838744588,6106.8702290076335
Uttarahalli,1788.0,3.0,2.0,3.0,98.34,104.23720000000004,5500.0
Raja Rajeshwari Nagar,1144.0,2.0,2.0,2.0,38.55,40.10753333333339,3369.7552447552443
other,1070.0,2.0,2.0,2.0,39.0,42.05554149800257,3644.8598130841124
other,1200.0,2.0,2.0,2.0,70.0,57.5871973877602,5833.333333333333
other,1862.0,3.0,2.0,3.0,120.0,121.3706,6444.68313641246
other,1200.0,2.0,1.0,2.0,58.5,66.6977315562278,4875.0
other,970.0,2.0,2.0,2.0,27.0,37.178999999999995,2783.505154639175
other,1646.0,3.0,2.0,3.0,79.5,87.49361904761905,4829.890643985419
Sarjapur  Road,4395.0,4.0,2.0,4.0,242.0,345.58,5506.257110352673
other,1200.0,4.0,1.0,5.0,100.0,112.81566423853927,8333.333333333334
other,1995.0,3.0,2.0,3.0,135.0,131.69,6766.917293233083
other,2400.0,4.0,2.0,4.0,450.0,353.3684286546787,18750.0
other,1085.0,2.0,1.0,2.0,47.74,50.67936705572204,4400.0
other,1139.0,2.0,2.0,2.0,56.8,63.04885600198415,4986.830553116769
Haralur Road,1092.0,2.0,2.0,2.0,44.0,45.061646666666675,4029.3040293040294
other,1767.0,3.0,2.0,3.0,98.0,97.53516666666664,5546.1233729485
other,1700.0,3.0,0.0,3.0,80.0,89.85264578754582,4705.882352941177
other,1692.0,3.0,2.0,3.0,88.0,93.84912873931624,5200.945626477542
other,1645.0,3.0,3.0,3.0,100.0,102.06729246031747,6079.0273556231
Uttarahalli,1345.0,2.0,1.0,3.0,57.0,54.45559523809525,4237.918215613383
other,1100.0,2.0,1.0,2.0,60.0,56.64297445552915,5454.545454545455
other,1408.0,3.0,3.0,3.0,62.0,83.92252380952382,4403.409090909091
other,2400.0,4.0,1.0,4.0,240.0,238.47409168609175,10000.0
other,1920.0,4.0,2.0,4.0,200.0,131.71766666666667,10416.666666666666
other,6040.0,4.0,0.0,5.0,170.0,661.2033333333334,2814.569536423841
other,2072.0,4.0,2.0,3.0,150.0,152.23600056887554,7239.382239382239
other,1420.0,2.0,1.0,2.0,158.0,105.39126,11126.760563380281
other,2040.0,3.0,2.0,3.0,137.0,127.93545238095243,6715.686274509804
Sarjapur  Road,1220.0,3.0,2.0,3.0,56.0,57.969430158730155,4590.163934426229
other,1200.0,4.0,2.0,4.0,145.0,171.61884160161964,12083.333333333334
other,1300.0,2.0,1.0,2.0,79.0,75.23342027164011,6076.923076923077
other,1150.0,2.0,2.0,2.0,39.0,63.735623407525324,3391.304347826087
other,1470.0,2.0,2.0,2.0,86.0,125.81893333333335,5850.340136054422
other,1063.0,2.0,1.0,2.0,31.9,47.184165476190486,3000.9407337723424
other,1311.0,2.0,2.0,2.0,48.0,56.466293690476185,3661.3272311212813
other,3500.0,4.0,3.0,4.0,350.0,341.1883333333333,10000.0
other,600.0,2.0,1.0,4.0,100.0,84.96799999999999,16666.666666666668
other,1400.0,2.0,2.0,3.0,55.0,63.948052075729585,3928.5714285714284
Kanakpura Road,2200.0,2.0,0.0,2.0,62.0,89.41066666666666,2818.181818181818
Thanisandra,1430.0,2.0,2.0,3.0,56.0,53.44651528499279,3916.083916083916
other,1060.0,2.0,2.0,2.0,55.0,46.256449062465315,5188.679245283019
other,1000.0,2.0,0.0,3.0,110.0,98.16149106339566,11000.0
other,1760.0,3.0,2.0,3.0,145.0,127.66327705627704,8238.636363636364
Whitefield,2010.0,3.0,3.0,3.0,92.0,106.48166666666665,4577.114427860696
Kanakpura Road,1480.0,2.0,2.0,3.0,64.23,72.89946666666656,4339.864864864865
other,1230.0,2.0,2.0,3.0,43.5,43.74956303418803,3536.5853658536585
other,1300.0,3.0,3.0,3.0,65.0,88.87948740079362,5000.0
other,800.0,4.0,0.0,4.0,120.0,85.6130952380952,15000.0
other,4850.0,6.0,2.0,4.0,385.0,423.86,7938.144329896907
other,1100.0,2.0,1.0,2.0,52.0,56.64297445552915,4727.272727272727
other,1752.12,3.0,2.0,3.0,116.0,125.55480952380951,6620.551103805676
Marathahalli,957.0,2.0,1.0,2.0,46.9,47.68646190476189,4900.73145245559
other,790.5,1.0,0.0,1.0,41.9,42.07035833333337,5300.44275774826
other,1942.0,3.0,2.0,3.0,102.0,124.9943433333333,5252.317198764161
other,1000.0,2.0,2.0,2.0,53.0,45.03574508455436,5300.0
other,668.0,1.0,1.0,1.0,36.85,36.848499999999945,5516.4670658682635
other,600.0,2.0,1.0,3.0,80.0,77.01718767343769,13333.333333333334
Uttarahalli,1089.0,2.0,1.0,2.0,43.55,46.26443333333339,3999.0817263544536
