location,total_sqft,bath,balcony,bhk,price
Yelahanka,1200.0,4.0,1.0,5.0,140.0
other,3300.0,3.0,0.0,5.0,250.0
other,1230.0,2.0,2.0,2.0,48.0
other,650.0,1.0,1.0,1.0,20.0
other,1480.0,2.0,0.0,2.0,120.0
Thanisandra,1220.0,2.0,1.0,2.0,43.92
other,1570.0,3.0,1.0,3.0,115.0
other,3000.0,3.0,3.0,3.0,400.0
other,1665.0,3.0,2.0,3.0,86.91
Sarjapur  Road,4000.0,5.0,2.0,4.0,600.0
other,1100.0,2.0,0.0,2.0,68.0
other,1350.0,2.0,1.0,3.0,87.01
other,1719.0,3.0,2.0,3.0,116.0
other,664.0,1.0,1.0,1.0,35.0
other,1011.0,2.0,1.0,2.0,50.53
other,2400.0,6.0,0.0,6.0,130.0
other,1680.0,3.0,2.0,3.0,85.0
other,717.0,2.0,0.0,2.0,49.475
other,700.0,4.0,2.0,4.0,110.0
Whitefield,1520.0,2.0,2.0,3.0,150.0
Uttarahalli,1350.0,2.0,2.0,3.0,53.0
other,1760.0,3.0,0.0,3.0,150.0
other,875.0,2.0,1.0,2.0,33.0
other,1231.0,2.0,2.0,2.0,48.0
other,1174.0,2.0,3.0,2.0,74.0
other,1560.0,3.0,3.0,3.0,75.0
other,1464.0,2.0,2.0,2.0,56.0
Kanakpura Road,2200.0,3.0,2.0,3.0,130.0
other,850.0,2.0,2.0,2.0,55.0
other,1750.0,3.0,1.0,3.0,180.0
other,2024.0,3.0,0.0,3.0,157.0
other,1500.0,1.0,0.0,2.0,160.0
other,2100.0,6.0,0.0,6.0,275.0
other,2408.0,4.0,2.0,3.0,260.0
other,1080.0,2.0,1.0,2.0,44.0
other,2070.0,3.0,2.0,3.0,225.0
Electronic City,1020.0,2.0,1.0,2.0,29.46
other,1500.0,2.0,3.0,3.0,55.0
other,1575.0,5.0,1.0,4.0,158.0
other,3250.0,4.0,1.0,4.0,180.0
Uttarahalli,1175.0,2.0,1.0,2.0,47.0
other,1030.0,2.0,1.0,2.0,34.5
Hebbal,1440.0,2.0,1.0,2.0,115.0
other,1500.0,2.0,1.0,2.0,84.0
Thanisandra,1380.0,1.0,1.0,1.0,62.1
other,1200.0,2.0,3.0,2.0,50.0
other,705.0,1.0,2.0,1.0,36.5
other,2240.0,5.0,2.0,3.0,155.0
other,1584.01,3.0,1.0,3.0,103.0
other,1340.0,3.0,3.0,3.0,77.0
other,1800.0,3.0,2.0,3.0,70.0
other,1200.0,2.0,3.0,2.0,45.0
Sarjapur  Road,685.0,1.0,1.0,1.0,40.0
other,925.0,2.0,3.0,2.0,42.0
other,1230.0,2.0,2.0,2.0,57.0
other,1200.0,5.0,1.0,5.0,185.0
other,1125.0,2.0,1.0,2.0,52.0
Hebbal,1100.0,2.0,1.0,2.0,54.0
other,2400.0,3.0,2.0,3.0,149.0
Electronic City Phase II,1400.0,2.0,2.0,3.0,41.58
Uttarahalli,1200.0,7.0,2.0,7.0,225.0
other,1858.0,3.0,1.0,3.0,98.3
other,1260.0,1.0,1.0,1.0,41.0
other,3530.0,4.0,2.0,4.0,290.0
other,1185.0,2.0,2.0,2.0,60.0
other,1200.0,2.0,1.0,2.0,216.0
other,1255.0,2.0,1.0,2.0,58.0
other,3436.0,6.0,3.0,4.0,475.0
other,1335.0,3.0,2.0,3.0,89.0
other,1999.0,3.0,2.0,3.0,132.0
other,1200.0,2.0,1.0,2.0,125.0
other,1397.0,3.0,2.0,3.0,110.0
other,1200.0,10.0,0.0,10.0,105.0
other,3950.0,4.0,0.0,4.0,450.0
other,1200.0,2.0,1.0,2.0,130.0
other,1616.0,3.0,0.0,3.0,95.0
other,1270.0,2.0,1.0,4.0,175.0
Raja Rajeshwari Nagar,1140.0,2.0,2.0,2.0,38.55
Kanakpura Road,525.0,1.0,1.0,1.0,30.0
other,1200.0,2.0,1.0,3.0,98.0
other,700.0,1.0,1.0,1.0,162.0
other,1205.47,2.0,1.0,2.0,81.0
other,1200.0,3.0,2.0,3.0,130.0
Electronic City,1700.0,3.0,2.0,3.0,75.0
Thanisandra,750.0,4.0,0.0,5.0,62.0
Kanakpura Road,1090.0,2.0,1.0,2.0,54.54
other,3600.0,5.0,0.0,4.0,220.0
Thanisandra,923.0,1.0,1.0,1.0,60.84
other,3595.0,6.0,2.0,4.0,360.0
other,1050.0,2.0,2.0,2.0,48.0
Whitefield,1495.0,2.0,2.0,2.0,79.5
other,1485.0,3.0,2.0,3.0,85.0
other,1033.0,2.0,2.0,3.0,31.5
Electronic City,1400.0,2.0,1.0,3.0,48.0
other,500.0,1.0,0.0,1.0,70.0
Sarjapur  Road,944.0,2.0,1.0,2.0,35.0
Whitefield,3250.0,5.0,0.0,5.0,290.0
Whitefield,1216.0,2.0,1.0,2.0,66.48
other,1100.0,2.0,1.0,2.0,39.5
Thanisandra,1743.0,3.0,2.0,3.0,93.25
Yelahanka,1274.0,2.0,2.0,2.0,48.42
other,2500.0,3.0,2.0,3.0,425.0
other,1512.0,2.0,2.0,3.0,110.0
other,3100.0,5.0,1.0,4.0,385.0
other,1650.0,3.0,3.0,3.0,100.0
other,1875.0,3.0,1.0,3.0,55.0
Whitefield,1350.0,3.0,2.0,3.0,54.0
other,1219.0,2.0,2.0,2.0,40.0
other,1200.0,4.0,1.0,4.0,150.0
other,2400.0,3.0,3.0,3.0,85.0
other,1141.0,2.0,1.0,2.0,44.4
other,1151.0,2.0,1.0,2.0,43.1
other,832.0,3.0,1.0,3.0,77.0
Sarjapur  Road,915.0,2.0,1.0,2.0,38.0
other,3259.0,3.0,0.0,3.0,270.0
Bannerghatta Road,1115.0,2.0,1.0,2.0,65.12
other,2072.0,4.0,2.0,3.0,139.0
other,1200.0,2.0,2.0,2.0,53.0
other,1300.0,2.0,2.0,2.0,65.0
other,1457.0,2.0,2.0,2.0,85.0
other,1262.0,2.0,2.0,2.0,55.0
other,1196.0,3.0,1.0,4.0,150.0
other,900.0,2.0,2.0,2.0,22.5
other,420.0,1.0,1.0,1.0,17.0
other,1160.0,2.0,1.0,2.0,46.39
other,1115.0,2.0,2.0,2.0,50.0
other,1315.0,2.0,1.0,3.0,85.4
other,1500.0,2.0,2.0,2.0,57.0
other,1127.0,2.0,1.0,2.0,68.0
other,1397.0,3.0,2.0,3.0,104.0
Whitefield,1173.0,2.0,1.0,2.0,60.0
other,1090.0,2.0,2.0,2.0,28.0
Sarjapur  Road,2720.0,5.0,0.0,3.0,210.0
other,1230.0,2.0,1.0,2.0,76.0
other,3200.0,3.0,3.0,4.0,190.0
Sarjapur  Road,858.0,2.0,1.0,2.0,31.57
other,1868.0,3.0,1.0,3.0,121.0
Uttarahalli,1689.28,3.0,2.0,3.0,91.2
other,600.0,3.0,2.0,4.0,73.0
other,1425.0,3.0,3.0,3.0,49.88
other,1200.0,6.0,2.0,6.0,170.0
other,1350.0,2.0,1.0,2.0,100.0
other,4200.0,6.0,0.0,6.0,180.0
Uttarahalli,1310.0,2.0,1.0,3.0,85.0
other,970.0,2.0,1.0,2.0,40.0
other,1397.0,3.0,3.0,3.0,108.0
other,1157.0,2.0,1.0,2.0,40.0
other,1125.0,2.0,1.0,2.0,61.2
other,1157.0,2.0,1.0,2.0,42.0
Sarjapur  Road,1241.0,2.0,1.0,2.0,82.0
other,660.0,1.0,1.0,1.0,62.0
Marathahalli,4000.0,4.0,3.0,4.0,220.0
other,2340.0,4.0,1.0,4.0,148.0
other,596.0,1.0,1.0,1.0,42.0
other,10000.0,16.0,0.0,16.0,550.0
other,1200.0,4.0,3.0,4.0,110.0
other,1910.0,3.0,1.0,3.0,190.0
other,1139.0,2.0,2.0,2.0,80.0
other,3122.0,5.0,2.0,4.0,225.0
other,1033.0,2.0,2.0,2.0,28.41
other,1168.0,2.0,2.0,2.0,64.08
other,877.0,2.0,3.0,2.0,42.0
other,1340.0,2.0,2.0,2.0,75.0
other,1405.0,2.0,2.0,3.0,70.0
other,1800.0,3.0,3.0,3.0,65.0
other,1750.0,3.0,3.0,3.0,149.0
other,1360.0,2.0,1.0,3.0,65.0
other,675.0,2.0,0.0,3.0,148.0
other,985.0,2.0,1.0,2.0,63.0
other,1300.0,2.0,1.0,2.0,129.0
7th Phase JP Nagar,1850.0,3.0,2.0,3.0,150.0
other,1490.0,2.0,3.0,3.0,88.0
other,620.0,1.0,1.0,2.0,25.0
other,1130.0,2.0,1.0,2.0,42.3
other,1080.0,2.0,2.0,2.0,55.0
other,3126.0,4.0,0.0,4.0,120.0
other,1410.0,2.0,3.0,3.0,52.17
other,1375.0,3.0,2.0,3.0,59.0
Hennur Road,1290.0,2.0,1.0,3.0,94.5
other,1318.0,2.0,1.0,3.0,85.28
Electronic City,1128.0,2.0,1.0,2.0,68.0
other,4428.0,4.0,2.0,4.0,255.0
Kanakpura Road,1051.0,2.0,2.0,2.0,56.74
other,3500.0,5.0,0.0,3.0,275.0
other,2400.0,4.0,1.0,4.0,130.0
Yelahanka,1327.0,2.0,3.0,2.0,85.0
other,2912.0,6.0,2.0,4.0,210.0
other,1301.0,2.0,2.0,2.0,55.0
other,650.0,1.0,0.0,1.0,30.0
other,1200.0,3.0,1.0,3.0,67.75
other,1500.0,2.0,2.0,3.0,89.99
other,1350.0,4.0,2.0,4.0,145.0
Electronic City Phase II,1000.0,2.0,1.0,2.0,28.88
Sarjapur  Road,984.0,2.0,1.0,2.0,45.91
other,1819.18,3.0,1.0,3.0,160.0
other,900.0,1.0,0.0,1.0,175.0
Hebbal,1355.0,3.0,1.0,3.0,83.87
other,2145.0,4.0,1.0,3.0,270.0
other,2475.0,4.0,3.0,3.0,300.0
other,1118.0,2.0,0.0,2.0,30.0
other,910.0,1.0,1.0,1.0,42.0
other,1250.0,3.0,2.0,3.0,39.0
other,1304.0,2.0,3.0,2.0,100.0
other,1615.0,3.0,2.0,3.0,58.0
Sarjapur  Road,1400.0,2.0,2.0,2.0,68.0
other,1070.0,2.0,2.0,2.0,47.5
Hebbal,3500.0,3.0,3.0,3.0,395.0
other,1132.0,2.0,1.0,2.0,89.37
other,2000.0,3.0,2.0,3.0,85.0
Hebbal,2400.0,5.0,1.0,7.0,550.0
other,794.0,1.0,2.0,1.0,65.0
Raja Rajeshwari Nagar,1090.0,2.0,2.0,2.0,43.59
other,1500.0,3.0,2.0,3.0,70.0
other,2059.0,3.0,2.0,3.0,225.0
Kanakpura Road,525.0,1.0,1.0,1.0,30.0
other,1447.0,2.0,1.0,2.0,75.97
Whitefield,1269.0,2.0,1.0,2.0,75.0
other,4800.0,4.0,0.0,4.0,700.0
Kanakpura Road,1070.0,2.0,2.0,2.0,37.45
other,1150.0,2.0,0.0,2.0,28.0
Marathahalli,1208.0,2.0,2.0,2.0,70.0
other,1185.0,2.0,1.0,2.0,45.5
other,1200.0,3.0,1.0,3.0,130.0
other,888.0,2.0,1.0,2.0,34.0
other,1015.0,2.0,2.0,2.0,25.88
other,532.0,1.0,1.0,1.0,22.49
other,1060.0,3.0,1.0,3.0,62.0
Electronic City,700.0,1.0,1.0,1.0,35.0
other,902.0,2.0,2.0,2.0,42.0
other,600.0,3.0,3.0,6.0,95.0
Uttarahalli,1175.0,2.0,1.0,2.0,47.0
other,1365.0,2.0,1.0,2.0,122.0
other,984.0,2.0,1.0,2.0,51.0
Hebbal,2700.0,2.0,2.0,4.0,100.0
other,1475.0,3.0,2.0,3.0,96.0
Haralur Road,1300.0,2.0,2.0,2.0,79.0
other,1200.0,6.0,1.0,5.0,220.0
other,1453.0,2.0,2.0,3.0,43.59
other,1550.0,2.0,3.0,2.0,160.0
other,1666.0,3.0,0.0,3.0,95.0
other,1410.0,4.0,2.0,4.0,160.0
Yelahanka,4025.0,5.0,3.0,4.0,800.0
other,1845.0,3.0,3.0,3.0,91.0
other,1676.0,3.0,3.0,3.0,52.0
Uttarahalli,1137.0,2.0,1.0,2.0,63.0
Electronic City,1360.0,2.0,1.0,3.0,70.5
other,1374.0,2.0,2.0,3.0,70.0
other,1700.0,3.0,2.0,3.0,155.0
Whitefield,3227.0,5.0,0.0,5.0,250.0
other,2145.0,4.0,0.0,4.0,125.0
other,2170.0,3.0,2.0,3.0,151.0
other,1080.0,2.0,1.0,2.0,55.0
Electronic City Phase II,1790.0,3.0,3.0,3.0,100.0
other,550.0,1.0,1.0,1.0,17.0
other,1270.0,2.0,2.0,3.0,50.79
other,1033.0,2.0,2.0,2.0,48.0
other,1000.0,2.0,1.0,2.0,80.0
other,2940.0,6.0,2.0,4.0,280.0
other,1240.0,2.0,2.0,2.0,52.6
other,883.0,2.0,1.0,2.0,39.0
other,1500.0,2.0,0.0,3.0,97.0
Marathahalli,1730.0,3.0,3.0,3.0,139.0
other,1915.0,3.0,3.0,3.0,80.0
Whitefield,1545.0,3.0,2.0,3.0,79.0
other,1865.0,4.0,2.0,3.0,140.0
other,1150.0,2.0,2.0,2.0,40.0
other,1200.0,2.0,2.0,2.0,49.0
other,963.0,2.0,2.0,2.0,40.0
other,1200.0,3.0,1.0,3.0,120.0
other,2600.0,4.0,3.0,4.0,260.0
other,1700.0,4.0,0.0,4.0,108.0
other,1682.0,3.0,1.0,3.0,120.0
Yelahanka,1371.0,2.0,2.0,3.0,65.0
Hennur Road,901.0,2.0,1.0,2.0,49.5
other,600.0,7.0,0.0,7.0,73.0
other,1730.0,3.0,1.0,3.0,120.0
other,1200.0,4.0,0.0,4.0,125.0
other,1500.0,3.0,3.0,3.0,102.0
Sarjapur  Road,3785.0,6.0,0.0,4.0,280.0
other,3500.0,4.0,2.0,4.0,245.0
other,1203.0,2.0,1.0,2.0,59.86
other,1357.0,2.0,2.0,2.0,54.0
other,1600.0,3.0,2.0,3.0,76.0
other,350.0,1.0,1.0,1.0,13.5
other,1665.0,3.0,1.0,3.0,53.0
other,1400.0,3.0,3.0,3.0,200.0
Sarjapur  Road,835.0,1.0,1.0,1.0,46.95
other,815.0,3.0,2.0,2.0,160.0
Haralur Road,1444.0,2.0,1.0,3.0,80.0
other,1277.0,2.0,2.0,2.0,55.0
other,1521.0,3.0,1.0,3.0,94.71
other,1134.0,2.0,1.0,2.0,40.0
other,995.0,2.0,1.0,2.0,34.82
other,2760.0,5.0,2.0,3.0,157.0
Marathahalli,1325.0,1.0,1.0,2.0,92.0
other,4000.0,6.0,0.0,6.0,150.0
Marathahalli,1525.0,3.0,2.0,3.0,90.0
other,1320.0,2.0,2.0,3.0,73.0
other,650.0,1.0,1.0,1.0,23.0
other,1858.0,2.0,1.0,3.0,167.0
Electronic City,1150.0,2.0,1.0,2.0,38.0
Electronic City Phase II,769.0,2.0,1.0,2.0,40.0
Electronic City,1571.0,3.0,2.0,3.0,105.0
Hennur Road,1445.0,3.0,1.0,3.0,86.56
other,1590.0,2.0,2.0,3.0,135.0
other,902.0,2.0,2.0,2.0,49.0
other,2238.0,3.0,1.0,3.0,140.0
Electronic City,1090.0,2.0,1.0,2.0,31.49
Yelahanka,1712.0,3.0,3.0,3.0,82.0
Haralur Road,1088.0,2.0,1.0,2.0,68.0
other,1575.0,3.0,3.0,3.0,63.1
other,2150.0,6.0,3.0,6.0,205.0
other,1920.0,3.0,2.0,3.0,150.0
other,1000.0,2.0,0.0,2.0,57.0
other,1100.0,2.0,2.0,2.0,56.1
Electronic City,1089.0,2.0,2.0,2.0,45.0
other,1106.0,2.0,1.0,2.0,43.09
other,927.0,2.0,2.0,2.0,37.0
Kanakpura Road,1339.0,2.0,2.0,2.0,58.0
Thanisandra,923.0,1.0,1.0,1.0,45.69
Sarjapur  Road,2900.0,3.0,2.0,3.0,285.0
other,1175.0,2.0,2.0,2.0,75.0
other,975.0,2.0,1.0,2.0,55.0
Hebbal,2400.0,4.0,1.0,3.0,180.0
other,1330.0,3.0,2.0,3.0,72.0
Thanisandra,1183.0,2.0,1.0,2.0,59.74
other,1758.0,3.0,2.0,3.0,133.0
other,1200.0,3.0,2.0,3.0,265.0
Hebbal,1255.0,2.0,1.0,3.0,77.68
other,600.0,4.0,2.0,3.0,110.0
other,1100.0,2.0,2.0,2.0,50.0
other,1170.0,2.0,2.0,2.0,46.8
other,2400.0,5.0,2.0,5.0,120.0
Raja Rajeshwari Nagar,1530.0,3.0,3.0,3.0,51.77
Hebbal,1420.0,2.0,2.0,2.0,107.0
7th Phase JP Nagar,1045.0,6.0,3.0,6.0,160.0
Kanakpura Road,1591.0,3.0,1.0,3.0,115.0
7th Phase JP Nagar,1680.0,3.0,2.0,3.0,120.0
other,675.0,3.0,1.0,2.0,52.0
other,1055.0,2.0,1.0,2.0,57.63
other,1918.0,3.0,2.0,3.0,129.0
Sarjapur  Road,1280.0,2.0,1.0,2.0,76.0
other,1560.0,3.0,3.0,3.0,66.0
Sarjapur  Road,1145.0,2.0,2.0,2.0,49.5
other,2106.0,3.0,2.0,3.0,126.0
other,1801.0,3.0,2.0,3.0,139.0
other,1200.0,5.0,3.0,5.0,120.0
other,1718.0,3.0,2.0,2.0,288.0
Whitefield,1306.0,3.0,2.0,3.0,54.65
Hebbal,1320.0,2.0,1.0,2.0,92.0
other,1350.0,2.0,2.0,3.0,65.0
other,2990.0,4.0,0.0,4.0,324.0
other,3800.0,5.0,3.0,4.0,300.0
Bannerghatta Road,1344.0,2.0,1.0,3.0,42.0
Bannerghatta Road,1893.0,3.0,2.0,3.0,100.0
other,1107.0,2.0,1.0,3.0,43.0
other,1200.0,10.0,0.0,9.0,180.0
other,1190.0,2.0,1.0,2.0,75.0
Whitefield,1000.0,2.0,1.0,2.0,35.0
other,2400.0,2.0,1.0,2.0,160.0
other,1000.0,2.0,1.0,2.0,48.5
other,2113.0,3.0,2.0,3.0,155.0
other,1100.0,2.0,1.0,2.0,46.0
other,1200.0,4.0,1.0,5.0,160.0
other,1884.0,4.0,2.0,4.0,120.0
Electronic City,1110.0,2.0,1.0,2.0,40.0
other,1027.0,2.0,2.0,2.0,43.0
other,1250.0,3.0,2.0,3.0,40.0
Sarjapur  Road,1470.0,3.0,0.0,3.0,62.0
other,1150.0,2.0,1.0,2.0,75.0
other,1200.0,3.0,2.0,3.0,165.0
other,703.0,1.0,1.0,1.0,52.0
other,1400.0,2.0,2.0,3.0,62.0
other,1195.0,2.0,2.0,2.0,51.0
other,1302.0,2.0,1.0,2.0,69.1
other,1583.0,3.0,1.0,3.0,74.4
other,1488.0,2.0,3.0,3.0,60.0
other,600.0,5.0,2.0,4.0,85.0
other,1385.0,2.0,2.0,3.0,34.63
Whitefield,3262.0,4.0,2.0,4.0,260.0
Electronic City,1600.0,3.0,2.0,3.0,104.0
other,1150.0,2.0,1.0,2.0,90.0
other,4500.0,9.0,0.0,9.0,166.0
Sarjapur  Road,1263.0,2.0,1.0,2.0,78.0
other,1200.0,8.0,2.0,7.0,110.0
Kanakpura Road,1299.0,2.0,2.0,2.0,85.0
other,1330.0,2.0,1.0,2.0,78.0
other,1282.0,2.0,2.0,3.0,52.43
other,1853.0,3.0,2.0,3.0,82.0
other,861.0,2.0,1.0,2.0,35.0
Bannerghatta Road,1600.0,3.0,2.0,3.0,95.0
other,1256.0,2.0,1.0,2.0,62.8
other,1390.0,2.0,2.0,3.0,80.0
other,1550.0,2.0,0.0,3.0,90.0
other,1200.0,6.0,3.0,11.0,150.0
Hebbal,919.0,2.0,1.0,2.0,49.0
other,1625.0,3.0,0.0,3.0,80.0
other,1195.0,2.0,2.0,2.0,44.0
other,1159.0,2.0,1.0,2.0,60.0
Whitefield,1386.0,3.0,1.0,3.0,57.46
other,1197.0,2.0,1.0,2.0,79.0
other,2690.0,4.0,3.0,4.0,191.0
other,1295.0,2.0,1.0,3.0,50.28
other,1310.0,2.0,1.0,3.0,37.83
Whitefield,1132.0,2.0,1.0,2.0,79.28
other,2350.0,3.0,2.0,3.0,400.0
other,2400.0,4.0,0.0,4.0,500.0
Hebbal,1645.0,3.0,2.0,3.0,135.0
Whitefield,1200.0,2.0,1.0,2.0,45.84
Whitefield,3000.0,4.0,0.0,4.0,330.0
Marathahalli,1937.0,3.0,2.0,3.0,140.0
other,1015.0,2.0,2.0,2.0,33.5
other,1080.0,2.0,2.0,2.0,39.0
other,1350.0,2.0,2.0,3.0,80.99
other,1149.0,2.0,2.0,3.0,29.0
other,1185.0,2.0,2.0,2.0,59.0
other,1720.0,3.0,1.0,3.0,135.0
Hebbal,2080.0,3.0,3.0,3.0,175.0
other,1500.0,3.0,1.0,3.0,87.0
Yelahanka,1566.0,3.0,2.0,3.0,97.0
other,2386.0,3.0,0.0,3.0,334.0
other,1500.0,4.0,0.0,4.0,110.0
other,1290.0,2.0,1.0,2.0,49.02
other,1531.0,3.0,2.0,3.0,72.0
other,1839.0,3.0,3.0,3.0,165.0
other,4200.0,4.0,1.0,4.0,760.0
Electronic City Phase II,1400.0,2.0,2.0,3.0,40.43
Electronic City,550.0,1.0,1.0,2.0,15.0
Whitefield,1140.0,2.0,2.0,2.0,39.0
other,1343.5,3.0,0.0,3.0,57.76
other,2000.0,4.0,0.0,4.0,100.0
other,1100.0,2.0,1.0,2.0,46.0
other,1200.0,2.0,2.0,2.0,55.0
other,1618.0,3.0,1.0,3.0,68.0
Whitefield,2830.0,5.0,2.0,4.0,160.0
Uttarahalli,1315.0,2.0,2.0,3.0,74.0
other,1141.0,2.0,1.0,2.0,42.75
other,1080.0,2.0,2.0,2.0,55.0
other,1200.0,2.0,2.0,2.0,60.0
other,1111.0,2.0,2.0,2.0,41.88
other,1022.0,2.0,1.0,2.0,45.9
Bannerghatta Road,1275.0,2.0,2.0,2.0,65.0
other,900.0,2.0,1.0,2.0,70.0
other,1224.0,2.0,3.0,2.0,39.2
other,1135.0,2.0,3.0,2.0,43.0
other,1050.0,2.0,2.0,2.0,52.1
other,1535.0,3.0,2.0,3.0,86.0
other,1392.0,2.0,1.0,2.0,130.0
other,1050.0,2.0,2.0,2.0,72.0
other,1513.0,3.0,1.0,3.0,103.0
other,1621.0,3.0,3.0,3.0,72.0
Bannerghatta Road,892.0,2.0,1.0,2.0,39.0
Whitefield,1205.0,2.0,1.0,2.0,40.0
Hebbal,1355.0,3.0,2.0,3.0,83.87
other,1250.0,5.0,0.0,5.0,300.0
other,1650.0,9.0,0.0,7.0,345.0
other,1200.0,6.0,3.0,4.0,70.0
other,1400.0,2.0,2.0,2.0,168.0
other,726.0,2.0,1.0,2.0,35.0
other,1500.0,3.0,2.0,3.0,149.0
Hebbal,3895.0,4.0,2.0,4.0,405.0
other,1079.0,2.0,2.0,2.0,41.0
other,1170.0,2.0,2.0,2.0,46.0
other,1104.0,2.0,2.0,2.0,39.0
Kanakpura Road,950.0,2.0,1.0,2.0,45.0
other,4818.0,4.0,3.0,4.0,390.0
other,1650.0,2.0,1.0,3.0,52.0
other,1559.0,3.0,2.0,3.0,127.0
other,1100.0,2.0,1.0,2.0,38.0
other,1750.0,3.0,3.0,3.0,150.0
other,1215.0,2.0,1.0,2.0,45.5
other,1868.0,3.0,1.0,3.0,135.0
Electronic City,1130.0,2.0,1.0,2.0,32.63
Kanakpura Road,1570.0,3.0,3.0,3.0,64.5
Sarjapur  Road,1691.0,3.0,1.0,3.0,98.0
other,4355.0,3.0,1.0,5.0,350.0
other,1225.0,2.0,2.0,2.0,55.0
other,1690.0,3.0,2.0,3.0,112.0
other,1418.0,2.0,2.0,2.0,103.0
other,1896.0,3.0,1.0,4.0,125.0
other,605.0,1.0,1.0,1.0,40.0
other,800.0,5.0,2.0,5.0,95.0
Electronic City Phase II,900.0,2.0,2.0,2.0,32.5
other,750.0,2.0,0.0,1.0,50.0
other,780.0,3.0,1.0,3.0,62.0
other,908.0,2.0,1.0,2.0,26.0
Sarjapur  Road,3416.5,6.0,0.0,4.0,143.0
Thanisandra,3216.0,4.0,1.0,4.0,226.0
other,2400.0,4.0,1.0,5.0,225.0
other,1400.0,2.0,2.0,2.0,68.0
other,1092.0,2.0,2.0,2.0,44.0
other,1255.0,2.0,2.0,2.0,74.0
Electronic City,1500.0,2.0,1.0,3.0,100.0
Thanisandra,1296.0,2.0,2.0,2.0,72.0
other,925.0,2.0,3.0,2.0,38.0
Raja Rajeshwari Nagar,1023.0,2.0,2.0,2.0,42.0
other,600.0,3.0,2.0,2.0,75.0
Thanisandra,1020.0,2.0,1.0,2.0,44.5
other,1530.0,3.0,2.0,3.0,77.0
other,1650.0,3.0,2.0,3.0,71.0
other,1605.0,2.0,3.0,3.0,85.0
other,1925.0,2.0,1.0,2.0,50.0
other,1190.0,2.0,2.0,2.0,50.66
other,1374.0,3.0,2.0,3.0,68.0
other,1140.0,2.0,2.0,2.0,65.0
other,1725.0,3.0,2.0,3.0,130.0
other,1075.0,2.0,1.0,3.0,50.0
other,1574.0,3.0,1.0,3.0,93.34
other,965.0,1.0,1.0,1.0,32.0
Marathahalli,1550.0,3.0,2.0,3.0,83.0
other,1205.0,2.0,2.0,2.0,60.0
other,1082.0,2.0,1.0,3.0,55.0
Uttarahalli,1215.0,2.0,2.0,3.0,52.85
Hebbal,2483.0,5.0,2.0,4.0,230.0
other,1200.0,3.0,1.0,2.0,46.14
other,1500.0,1.0,1.0,1.0,19.5
other,3198.0,4.0,0.0,4.0,250.0
Kanakpura Road,1452.0,3.0,3.0,3.0,60.98
Electronic City Phase II,1329.0,2.0,2.0,3.0,41.0
other,1125.0,2.0,1.0,2.0,44.0
other,1200.0,2.0,0.0,2.0,70.0
Sarjapur  Road,1350.0,3.0,3.0,3.0,39.97
Uttarahalli,1312.5,3.0,0.0,3.0,51.19
Hebbal,2600.0,3.0,2.0,3.0,195.0
other,1200.0,2.0,1.0,2.0,160.0
Electronic City Phase II,1220.0,3.0,1.0,3.0,35.23
other,1255.0,2.0,1.0,2.0,80.0
other,1904.0,3.0,3.0,3.0,155.0
other,1329.0,2.0,2.0,2.0,70.0
other,1200.0,2.0,1.0,2.0,60.0
other,2135.0,3.0,2.0,3.0,160.0
other,2770.0,4.0,3.0,3.0,315.0
other,813.0,1.0,1.0,1.0,39.0
other,3884.0,4.0,3.0,4.0,240.0
other,3876.0,3.0,1.0,3.0,300.0
other,800.0,2.0,2.0,2.0,30.0
other,4750.0,2.0,1.0,4.0,120.0
other,1500.0,3.0,3.0,3.0,70.0
Bannerghatta Road,1880.0,3.0,2.0,3.0,95.0
Electronic City,1440.0,2.0,2.0,3.0,55.0
other,1575.0,3.0,0.0,3.0,90.0
other,1630.0,2.0,2.0,3.0,97.78
Yelahanka,1180.0,3.0,1.0,3.0,55.0
other,1090.0,2.0,1.0,2.0,36.0
other,1020.0,2.0,2.0,2.0,48.45
other,2425.0,4.0,3.0,4.0,173.0
other,1097.0,2.0,1.0,2.0,33.82
Raja Rajeshwari Nagar,1070.0,2.0,1.0,2.0,50.0
other,1000.0,2.0,1.0,2.0,58.0
other,1120.0,8.0,0.0,8.0,150.0
other,1150.0,2.0,1.0,2.0,56.0
other,1900.0,4.0,2.0,3.0,145.0
other,1141.0,2.0,2.0,2.0,49.0
other,937.0,2.0,1.0,2.0,44.0
other,1075.0,2.0,1.0,2.0,60.0
other,1000.0,2.0,1.0,2.0,65.3
other,1450.0,3.0,0.0,3.0,77.41
other,897.0,2.0,1.0,5.0,85.0
other,936.0,2.0,2.0,2.0,43.0
other,1280.0,2.0,1.0,2.0,75.0
other,1050.0,2.0,3.0,2.0,45.0
Marathahalli,1350.0,2.0,1.0,2.0,86.0
other,1325.0,2.0,1.0,2.0,70.0
other,1174.0,2.0,1.0,2.0,59.0
other,1890.0,3.0,2.0,3.0,162.0
other,735.0,1.0,1.0,1.0,75.0
other,500.0,1.0,0.0,1.0,24.0
other,1304.0,3.0,3.0,3.0,80.0
Yelahanka,1653.0,3.0,2.0,3.0,120.0
other,1075.0,2.0,1.0,3.0,52.0
7th Phase JP Nagar,1212.0,3.0,1.0,2.0,42.0
other,1100.0,2.0,1.0,2.0,50.0
